"Job_Trait","Trait_Cluster","Score_Comp_.1","Score_Comp_.2","Score_Comp_.3","Score_Comp_.4","Score_Comp_.5","Score_Comp_.6","Score_Comp_.7","Score_Comp_.8","Score_Comp_.9","Score_Comp_.10","Score_Comp_.11","Score_Comp_.12","Score_Comp_.13","Score_Comp_.14","Score_Comp_.15","Score_Comp_.16","Score_Comp_.17","Score_Comp_.18","Score_Comp_.19","Score_Comp_.20","Score_Comp_.21","Score_Comp_.22","Score_Comp_.23","Score_Comp_.24","Score_Comp_.25","Score_Comp_.26","Score_Comp_.27","Score_Comp_.28","Score_Comp_.29","Score_Comp_.30","Score_Comp_.31","Score_Comp_.32","Score_Comp_.33","Score_Comp_.34","Score_Comp_.35","Score_Comp_.36","Score_Comp_.37","Score_Comp_.38","Score_Comp_.39","Score_Comp_.40","Score_Comp_.41","Score_Comp_.42","Score_Comp_.43","Score_Comp_.44","Score_Comp_.45","Score_Comp_.46","Score_Comp_.47","Score_Comp_.48","Score_Comp_.49","Score_Comp_.50","Score_Comp_.51","Score_Comp_.52","Score_Comp_.53","Score_Comp_.54","Score_Comp_.55","Score_Comp_.56","Score_Comp_.57","Score_Comp_.58","Score_Comp_.59","Score_Comp_.60","Score_Comp_.61","Score_Comp_.62","Score_Comp_.63","Score_Comp_.64","Score_Comp_.65","Score_Comp_.66","Score_Comp_.67","Score_Comp_.68","Score_Comp_.69","Score_Comp_.70","Score_Comp_.71","Score_Comp_.72","Score_Comp_.73","Score_Comp_.74","Score_Comp_.75","Score_Comp_.76","Score_Comp_.77","Score_Comp_.78","Score_Comp_.79","Score_Comp_.80","Score_Comp_.81","Score_Comp_.82","Score_Comp_.83","Score_Comp_.84","Score_Comp_.85","Score_Comp_.86","Score_Comp_.87","Score_Comp_.88","Score_Comp_.89","Score_Comp_.90","Score_Comp_.91","Score_Comp_.92","Score_Comp_.93","Score_Comp_.94","Score_Comp_.95","Score_Comp_.96","Score_Comp_.97","Score_Comp_.98","Score_Comp_.99","Score_Comp_.100","Score_Comp_.101","Score_Comp_.102","Score_Comp_.103","Score_Comp_.104","Score_Comp_.105","Score_Comp_.106","Score_Comp_.107","Score_Comp_.108","Score_Comp_.109","Score_Comp_.110","Score_Comp_.111","Score_Comp_.112","Score_Comp_.113","Score_Comp_.114","Score_Comp_.115","Score_Comp_.116","Score_Comp_.117","Score_Comp_.118","Score_Comp_.119","Score_Comp_.120"
"Arm.Hand.Steadiness","Physical",13.2041390440352,13.9745756104633,-10.0865581390525,3.33395720495917,-1.48103410623396,3.00086464486914,6.44400374091305,-1.12266258825877,0.611012023995514,-1.23314577877182,0.734594923164057,-1.47453655552514,2.85165767303285,-1.48297908631143,0.773753582064649,-0.10328890900057,3.28301622933858,-2.03223504953278,0.50199814840237,0.0325716563650882,-2.12751139364428,-0.657622536173495,-0.482809006901079,2.20921601199548,-0.604224399978129,0.138442292360697,-0.655281796858709,0.182867979089499,-1.38767760924892,0.502955388647372,-0.328105133137797,0.510277676943415,-0.686948940991636,1.22570575265053,-0.277402576720533,0.832372779516425,-0.336036319654559,0.272079531195629,0.792179751831647,-0.649394155864438,1.07695419587563,-0.700187370989117,-0.572701061390882,0.348797760191726,0.175815181470538,-0.104299030808972,-0.291655818476768,0.373678314552575,0.284094166383824,0.0300719738455809,0.198421186734117,-0.317982925779783,-0.14442928393416,0.461687837018568,0.444915485654023,0.401416427999537,-0.210631166274269,-1.28669764600513,-0.532896046561759,0.944576937473841,0.133605260296838,0.404827881412079,0.506930645245245,1.28553444794689,-0.670391800693835,-1.22194528997947,0.753240572626901,0.368175636733411,0.760663939652193,-0.467238972375026,-0.586419529120117,-0.189533655692184,-0.368485501575508,-0.555094782397127,-0.136774768945367,0.279780882607873,0.631042666157583,0.56582636963283,0.861054760919109,-0.0752415248011325,-0.258117618178137,-0.537554142268345,-0.123401620374276,-0.022224781582215,0.377951097798638,0.0356603196548235,0.179777692404231,0.10403701568166,0.259437665622302,0.0705590819115907,0.0508897220206593,0.649950547285058,-0.357626974482143,-0.00934444431425808,-0.29562176654474,-0.412183891856734,-0.101838891151871,0.0254550212316401,0.280139516526084,0.162960044033376,0.0374890555804941,0.12938564356925,-0.0653711496451691,-0.161456864431885,-0.0395617520317815,-0.0133196871317277,-0.00684609009781353,-0.000997397160006461,-0.0670657896620541,-0.00244417634569705,-0.231676348828922,0.0323400371906602,0.11949477128589,0.108117721389495,0.113988504021355,-0.050261705318499,-0.050357281057374,-0.0724347188600589,0.0736408575128633,-0.0127424221719273
"Auditory.Attention","Oper&Cntrl",5.64446708531239,3.94336026653501,-3.36844397028783,-2.31546762458388,0.429253642226234,1.3632973714265,-1.55574904076127,-0.0515135617998843,-0.0793291990713932,0.720859219511946,-3.65147908695602,0.947395251951813,-0.62592973743836,-0.566528821949843,-1.28762021873072,-2.14465465930525,0.945659634636659,1.99816090150965,1.1130783532585,-0.961968526421513,1.24777968657823,0.397626498702231,-2.27389904624756,0.232233078943984,0.350735204480551,0.318144695582562,0.713400759504818,-0.723717081442419,-0.897525627472611,-1.1671786115017,-2.20650271765148,-0.24419068156464,-0.191541886334159,-0.999269537473521,0.241119125324643,0.583649672318937,0.0851970352013726,-0.359720215670626,-1.41398244503772,0.0762269259087914,0.14269734913418,1.343145281207,-1.63618958063207,-0.545870357784985,0.568012974666415,1.07354224258794,-1.85401138461295,-0.889704303797366,-0.0225295210418004,0.0212484723053044,-0.20771944706954,-0.0126836681876398,-0.316936794292368,0.770219994761896,-0.576982194957366,0.283262039293174,0.164889638404731,-0.64249685237101,-0.0966233380919591,-0.182562490860386,-0.319490135608949,-0.355609223481711,1.01146828434181,-0.194809720821572,0.645791526106361,0.0225239766420935,-0.157041449024644,0.123910364057321,-0.26474293075202,-0.693588606613319,1.44028589414196,0.528021317339272,-0.759510673443096,-0.152796037431796,-0.358983524775408,-0.240328872888455,0.170640681748666,-0.227088067356797,0.594961211753844,0.0442953441505141,0.258153114241555,0.0155053763250682,-0.30335595105263,0.0439075065771203,-0.0891719280263575,0.336926104842252,-0.462710973508594,0.950957659945757,-0.852275223219986,0.341451648378978,0.690735172518576,0.278851247063454,0.14964938323842,0.0872642246059463,-0.31437607400315,-0.0597867734824237,-0.262988542305842,-0.174489653356191,0.121519156900754,-0.0832242749413446,0.186095724364969,-0.0449140902603148,-0.0037146513612687,-0.00448046719190863,0.101896977199993,-0.0669877118010238,0.0841613466646687,-0.0824013719655405,0.141573171939658,-0.0774757839252701,0.0718311246471379,-0.0775780749087666,0.000755784305503749,-0.0923458256521766,0.00930674195919307,-0.0205496927155029,-0.0221910217003488,0.0163756056762874,-0.043847578374671,0.0258221832219113
"Category.Flexibility","Cognitive",4.14760059378716,0.502303079056645,4.01120652551057,1.23350430154784,0.729712534070576,0.778269839188986,1.528513332426,-1.81018990061033,-0.498655586408466,-0.130367495738735,-1.86383143577261,0.326879439308559,0.364117915273423,-0.0499675951032835,0.157764015138359,-0.966413226534051,-0.178384651818381,0.590290258073825,-0.257459404516515,-1.30047234887789,-1.46919587402331,-0.0826346968529274,0.892520915523323,0.285582731631049,0.371517778383266,0.438281437361884,-0.0886184704118596,0.350558045809706,0.580955278979945,0.10245682541512,0.596856262653524,0.16477657826462,0.373401111057332,0.621945719606912,0.0836080745822042,0.340440197793666,-0.110111465290234,-0.267844603418643,-0.230608117483653,0.0344784682961595,-0.251460810909883,0.789147982198955,-0.199700135086108,0.388199396898336,-0.471378531233914,0.139221167511514,-0.0670528722308911,0.557763253564549,-0.231940596695026,0.0497414469903314,-0.804760643415965,-0.239839261423877,0.0890918022323471,0.217509531863735,0.143546473373828,-0.168180874801279,0.512387064439131,-0.762917983068321,-0.348604169590345,0.149842929801436,0.762915720644576,0.343981427950333,0.890015270604253,-0.934822666338321,0.000980284786061719,0.0151593784522767,-1.14491350403869,0.309578246426101,0.458062413463085,-0.805952271181208,0.114844156773288,-0.884146312747634,-0.393777157163267,-0.700691142246276,0.548549752180011,0.114520487472962,-0.418092179671705,-0.198254315846977,-0.000813524465377299,0.68531011626037,0.337874304068824,-0.108391395020286,0.396323796899806,-0.608536101899592,0.453508032463558,0.847857508533644,0.0531382976988965,0.105361864226756,0.0809969696758143,-0.541509118475535,-0.925097928509307,-0.321666107849156,-0.275113942567933,-0.141581876231168,0.262707962479779,0.0487719309705964,-0.470850599364865,0.321003107326016,0.204152701189371,-0.479988667415482,0.232309747547378,-0.0813284557280357,0.563080556684128,0.829952595772501,0.258740128142991,0.528450134365688,0.0265551621748205,0.0649206885356713,-0.155715156411772,0.0423809558511891,-0.0785446087532109,0.0482268546518318,0.099507644724388,-0.286780459834766,0.00817995312476465,-0.0763507783110808,-0.0730360301892171,-0.0761778730449865,-0.0482310657035517,0.00991022958084854
"Control.Precision","Physical",15.1918168315446,10.6065092401878,-8.55264064045073,1.13391453355577,-0.620468199244198,0.563458789524497,5.60649089719357,-1.04340407788636,2.45523917265133,-3.6611799778122,-0.302179872820574,-2.39065853195312,-0.541980339471595,0.365524093543181,1.14570454334735,2.13828082418169,1.71649221369578,-2.59809295167836,1.93826403965696,2.01367028068586,-1.43314787103723,-1.60585310797002,-0.717665211544708,2.377058525728,-0.909396831407601,-1.33968935549868,0.0390155798982082,0.522417001136138,0.363729945299242,0.137049539261145,-0.470472687882168,-0.442293982581383,0.312213431035512,-1.36690955525446,-1.27879020440029,0.447278061607131,0.0908317040637585,0.7156369086164,0.618863290225769,0.926142825805039,0.492374353168113,0.232702624457597,-0.188656510818084,-0.630949729775378,0.0055495916380371,-0.0843612322895913,-0.259052619035616,-0.905678751452371,-0.641347722538596,0.193551142989263,0.355277188964385,-0.610169662636139,-0.985885156276723,-0.229124097881686,-0.191838622590004,-0.354061917939567,-0.449148279982577,1.1096865316719,-0.251870029693817,-0.870609705089845,0.369854793612903,0.200646870438399,0.276203165499593,-1.11555108483859,1.57849304257796,0.530438654046851,-0.395642557316928,-0.910726895112091,-0.0597538937513816,0.847017772420413,0.543163448086433,-0.0311061122298477,0.607911184897377,-0.836273793452842,0.542811397438362,-0.754933378202845,-0.379181454638979,-0.651373379988037,0.238484913043336,-0.357436622757318,-0.055155574888476,-0.277870057322779,-0.194051278001485,-0.286746004261222,-0.0750191504946406,0.178625545015081,-0.0415584260061645,-0.253776771106965,0.281416473589811,-0.317323303982577,0.1295634034261,0.264554292622062,0.0869821046268193,-0.0552202289810252,0.304008142445982,-0.201255978659252,0.21970036911477,-0.0946990958236908,0.13828654278583,0.12611994500856,-0.14919556855029,-0.0323816832159374,0.00256707599559002,0.0689937598536353,-0.149535830254459,0.123276945733,-0.160431170396954,-0.0437852294543101,-0.0447214336355407,0.0176220661101803,-0.161152400062658,-0.070666763471755,-0.103364405333984,-0.0069043368749347,-0.000751611969254661,0.0132463271430398,-0.0315972841282276,0.0257574995746429,0.0967702805644829,-0.0071080994854855
"Deductive.Reasoning","Cognitive",2.57717076393415,0.928227838212447,4.86807339234534,1.69305406903708,2.36981450121314,0.653577568557098,0.486414779609811,-2.26824636629655,-0.433452398964662,-0.690311019355422,-1.40981965621214,-1.6560643564134,0.181150544178548,-0.485308617616326,0.995827831208398,-1.17018864318263,-1.25162315028298,-0.0898045319707289,0.207589045688623,0.286250550516057,-1.71255437119963,0.439561273291419,0.588818579625931,-0.169342799368066,0.437781473990728,0.314811769882552,0.146456630170783,0.512798191382694,0.00876960939803838,0.274495523723262,0.076249501539306,0.395707209054163,0.0366440944028384,0.237016138464566,0.598845528080647,0.150403938864378,0.630652153884437,0.168346780356258,0.0108794980048064,-0.296489306867112,0.0749808111443247,0.876775435254577,-0.254777344150765,-0.449252296908226,0.176686433243013,0.368500893157191,-0.128836507274922,-0.0723854660925123,0.340387378747911,-0.442737326545953,-0.321315571689169,-0.613971200060465,-0.137113266345337,0.29786631540046,-0.189003795401767,-0.099947314394368,-0.233627596671329,0.289455623786879,-0.379124953101338,0.593058996906157,-0.0454501435508492,-0.382881593144572,-0.100776651064854,-0.118378686954138,-0.524728937071608,0.459048889615626,-0.357097254724761,-0.35282357326759,-0.223650953458754,-0.0322386901025565,-0.0539161345624752,0.118690278832094,-0.6921730487988,0.0728740122924867,-0.0721602536885312,0.475008430573364,-0.196937250139594,0.347588305145961,-0.0833949804181724,0.169278277928822,-0.140327156359438,-0.809630327390571,-0.525629821810672,0.12661532139514,-0.155289853381566,-0.0770534879680253,-0.176441927689418,-0.453816885401753,-0.680805396587411,-0.112891252449044,0.257195182306915,-0.061444929006632,-0.377148751911903,0.296282158574592,0.491185118794142,-0.0812265285410961,0.595269503947924,-0.323124204172192,-0.153510248981776,0.216480673823045,-0.479843554688638,-0.0702239781983652,0.44719361687209,0.43324955103724,-0.196142267445613,-0.0664666758379991,0.664906685982756,-0.0534366250681365,-0.311043543003374,0.381478524262849,0.326597099567459,-0.29290237604679,-0.226565522929812,0.657337008056914,0.0639665603640528,-0.265323307017758,0.178287189434064,-0.393995965277053,0.496406814827631,0.0538843815294736
"Depth.Perception","Oper&Cntrl",12.9493832837298,4.41757198626463,-2.47565357662775,-3.1780751715892,0.0890035981878058,-1.09073156345059,1.3781233428974,-0.647832069388025,-0.503448874659963,-1.27770830416659,-1.78220228327355,0.464696120156513,-0.789110813011497,-0.19098223566978,0.2377813387091,1.49308225263803,-0.050309797964154,-0.0687044073089997,1.40118907570121,-0.0280489651837747,0.862402864942962,0.568246000987532,0.764212456582141,-0.241449434748638,-1.66678909930886,0.201880510531833,0.963082858016584,-0.669175028939691,1.17441282224203,-1.33854489466843,1.63697326309095,-1.011924342479,-0.436841003485276,-0.0716486324221687,-1.50127297388377,-0.43254317683301,0.0876052487381877,1.24010789993901,-0.156302071037599,-0.110681802621201,0.811091698158487,1.70645173483873,-0.139076918736767,-0.971034274001182,-0.367429456044985,-0.459713841031544,-0.0634838532575145,-0.309283608120766,0.399144583341901,-1.50464377899834,0.212204678870342,-0.494466826217442,-0.679065100637885,1.22269147351567,-0.845445150666126,1.92595676514057,0.253322440756984,-0.0217807918066677,-0.410143430171719,-0.0350651865870171,-0.525420844633245,-1.27486099068713,-0.199038391580971,-0.248551355985928,0.188665063328236,0.00399284304065594,-0.312365885946,0.26638210350253,-0.596613418478112,0.258495797295172,-1.15829885596786,-0.470588535970606,0.627778671238199,0.193126763479727,-0.515918258166077,-0.200561707846849,0.408728603101657,1.10030963159649,0.585347755143076,0.387422669574597,0.72290164400125,-0.478579582098597,0.405973833622715,-0.303327318906304,-0.213738518672938,-0.320363659058952,0.35592214691912,-0.0620013320149466,-0.0996956235842068,-0.0913034369458148,-0.211059096269595,-0.510227278369755,0.391407285239994,0.18166385990286,-0.0883894092230987,0.183490152475659,-0.235779108023909,0.0304172084831521,0.0122566046568409,-0.217114616176391,0.018744214924973,-0.0561821006833812,0.147248911505047,-0.137550264688719,0.0497086057561283,-0.134341156629329,-0.0479085790671604,-0.163826438713991,0.0735365035144579,0.0104990043815871,0.113895602613755,0.237429254851295,0.107169822995896,0.049978243058597,0.0667618031695703,0.0025455492630848,-0.0732716010445333,0.0125511915331097,-0.0637155723162245,0.0159470388317704
"Dynamic.Flexibility","Sensory",0.00215307231279648,0.587518937546098,-0.857776509413687,-0.25164975342688,-0.198691078801923,-0.0187972556505272,0.0763538400820775,-0.317037006224782,-1.15281914289315,0.908566669285074,0.602117502600952,0.386941143052169,0.162734881170309,-0.150936314478108,0.5201979057633,-0.320749919820658,-0.454234502285582,0.425728823877651,-0.292299215069565,0.0433578745028656,0.0480000668879776,-0.0746693410887214,-0.143776008552792,-0.430865008770329,-0.177968962237554,0.200693033230916,0.218924975573938,0.262164924736737,-0.18964270928213,-0.182462346479364,0.154364076857392,-0.31146649830569,0.119462573029878,0.0829494167909598,0.194422627613545,0.111912575370438,0.243758451085007,0.445798893750545,-0.112484662382277,-0.654582203058534,0.169440851418101,-0.0818464745166131,0.371126929306546,-0.0562896277029943,-0.228841788391818,0.587730239777382,-0.579614163105102,0.0870953371423576,-0.296545085073877,0.193288015442941,-0.275260065128701,-0.215504681025938,-0.0182001925660352,0.227916746990068,-0.035328139352865,0.245965664622691,0.330046451401154,0.364786368298159,-0.150092114617132,0.36163856219792,0.250356419178649,0.107208354475661,-0.080933041924344,0.032521126998843,-0.0211890051723957,-0.545383158375813,0.734597863211699,0.515612305102941,-0.25627597360545,0.408494897530828,0.012912362900625,-0.232111549123654,-1.01743959480777,-0.0855200402593654,0.233961121467349,-0.153545705668073,-0.0447657085898581,-0.105728145366943,-0.213553524125627,-0.265766686389121,0.0500768782079783,-0.00192076679765477,-0.273536875370399,0.11992750029019,0.108993952888384,-0.00693189969905244,-0.142224761838135,0.0966983426310284,0.0691591048437466,-0.18962317668037,0.26577628838263,-0.492788062187836,0.296152517145175,0.0366897931048339,0.132464565177823,-0.341386257920376,-0.0486200991971012,0.168284977751883,0.0220111940715654,0.115792936570631,0.158959613285742,-0.714310518109311,0.0213735769802347,0.233273128496829,-0.639762490296519,0.184412214542405,-0.227775757341736,0.0700666412765973,0.152812739798279,0.394105191954835,-0.152715728483944,1.04410601380493,-0.323290682858604,-0.0178465234079203,-0.41323048673835,0.356430062347878,-0.106626387791188,0.486953994713264,0.587094314552344,0.123884201959551
"Dynamic.Strength","Physical",3.15571190772474,7.40383994914809,-6.11846733836019,-2.19364593903376,-1.85404031088632,-2.11311129838946,-0.322773800657948,-2.75225663741429,-3.52277259212334,1.96084477167615,2.44325287891092,1.57263625538846,1.7722219128305,-0.208461066205899,2.49559396347548,-1.14456081379545,-0.63403086406082,1.44128622905621,-0.138049531817474,-0.0861591587809177,-0.00441862596305809,-0.394201826736773,0.0247367101870123,-0.0994946327659076,0.0265826885960203,0.720465300639994,0.0666660757584849,-0.0282016672605233,0.336295135659973,0.227760156014539,-0.480087563576735,-0.666964669578282,-0.852824044478394,0.653090930590515,0.535984517864864,0.527657050304905,0.101457217386419,-0.0513560136320843,0.00884919632004962,0.304989609557844,0.37035936495666,-0.21889583881918,0.645177157167177,0.115746945389668,-0.197749639469619,0.0743631489444803,0.293569421760316,0.472808068788478,-1.13338883877422,-0.683301364030352,-0.094774191412242,0.523587248802544,0.76332071491707,0.112015484080468,-0.693421471134849,-0.190951531481032,-0.527211107865204,-0.0548632685667612,0.669741988903598,0.0369261854544297,0.39536008252245,-0.41288030532911,0.333006700188897,0.459326280851426,0.710240391876585,0.179121643107703,0.194446678705563,-0.614057882254689,0.117886317146096,-0.743214892864353,-0.425131834555293,0.548849901610225,0.399857663469883,-0.509024680275235,0.469390123754762,-0.503692131432629,0.196056999472949,0.129628816915461,0.192996241588733,0.162844171013136,0.118044559121911,0.212473946852673,-0.475562534592216,0.176219363125905,0.17883124143486,0.00854668964298307,0.00988132440618675,-0.499085264985582,-0.708522772740742,0.569558898277847,-0.726340710548788,-0.386957037460748,0.880474198668362,-0.390401151004726,-0.514618067713969,0.194078287748216,0.416670896811644,-0.166643073252312,-0.138105568910749,0.818080146413899,0.321331082756806,-0.282756369141245,-0.0683991598744447,0.434405785726399,-0.224007026699866,0.056242907208216,-0.0403726504443867,-0.29227643926776,0.152789021539068,0.246768330413782,-0.333961767153772,-0.180093663689752,0.190443367696401,-0.191082416051827,-0.0298873238394738,-0.0169598746349902,-0.0448281794391187,-0.342693815128047,0.0397774589799833,-0.0288119178126057
"Explosive.Strength","Sensory",-0.350285339182049,3.25943140258962,-2.1694737386676,-1.6260199227146,-0.37054872200333,0.175788275910385,-2.62671729648765,-0.921721862843819,-2.34515671366103,0.800069037067166,0.588114577776678,1.19283095853565,-0.230499121578223,-0.594360716773953,0.304356620392084,-0.416444823679656,-0.851385202887243,0.304541835367183,-1.46262142493396,-0.265070759500302,-0.511517802621859,-0.431922714090676,0.88750195377873,0.269679234696778,0.656551032987623,0.0022082203845185,0.232755810401719,0.672536620282162,-0.25189839810343,-0.54536750105016,-0.661341580889694,1.58314396078749,1.41846938286477,-0.362187319511243,-0.634549757809174,-0.761060858978847,-0.741249567640811,-0.156929525190435,0.131190377415443,0.555318941896372,-0.862131007269381,-0.419012239630575,-0.997659052290279,0.0289076713417521,0.323063814134202,-0.0645573295514095,-1.75827729205574,0.355100354082326,-0.160516729612083,0.0353024878573391,0.988572852244407,-0.726347681982483,-0.918027828556614,-0.0188626955894339,0.671544307568175,-0.353622932537893,0.139293052520403,0.163707344866401,-1.66703631199623,0.230154596030082,-0.293785892672689,0.445934229401755,1.45048272278632,-0.64745061771342,-0.792834002922463,-0.702866132821974,0.675673733770356,0.362316283291419,-1.10879202457897,1.13877949421838,-0.0508008643054823,-0.249489693830097,-0.419533086992566,0.197719886041205,-0.0585311237538893,-0.178863152649519,0.131417051833586,0.110131777100139,-0.251729933868339,-0.235059343527974,0.000194868265230219,0.0492467801639813,0.480662982645973,-0.168777406844414,-0.273259472621721,0.109573169202208,0.223709020353932,-1.05316145973062,0.136836302111315,-0.0199146784798823,0.342705600892945,-0.0308931780152701,0.296405297433033,-0.357657623426728,-0.23244682834468,0.639880178609299,-0.102884929272891,-0.0271479862349429,-0.168938559682999,0.0409656522319944,0.43293677276,-0.0066907927286964,-0.280694913156703,0.244236740837934,-0.375898451153538,0.120217455771307,0.092225535042539,-0.114406528974269,0.0546697390530003,0.0591244105023829,-0.0289238611747682,-0.14504813042005,0.197890871906351,-0.0870488504989984,0.130474275330392,-0.188055571980623,0.0223503354653999,-0.256843011419737,-0.127959693580781,0.00137201877042876
"Extent.Flexibility","Physical",6.1183611462712,9.93889090830219,-7.46258245428433,-2.06615205974094,-2.18381190365325,-1.43132547138483,-0.83597136919951,-3.62366565789205,-2.88055546418533,1.83311599671777,3.29532437756636,0.450717866885845,1.97153266525143,-0.326836971509956,2.54071347319065,-0.451180131754004,-1.18034995730071,2.11068478619751,-0.211276636576031,-0.454390771323567,-0.119593584750116,-0.367698549614707,0.204799880506614,-0.669433929093854,-0.295531134846279,-0.215397561140162,-0.187988344463992,-0.278352754067026,1.23739305875425,0.181756921213669,-0.039702524504328,-1.13004831818016,-1.1332690262681,0.0690631754526137,0.946675666715015,0.383587974396215,0.783752863845458,-0.713023122338322,0.0573799075428177,-0.561949487523968,0.38314093662148,-0.286220651205068,-0.0397158312622818,0.568178606610603,0.624330007699165,0.61908482144256,0.928737158067767,-0.687199201807282,-0.145969231615471,-0.572209715611798,0.605601821840408,0.693564583317616,-0.305028762692704,0.450980297187718,-0.69025940420866,-1.2205588041359,0.798542419243402,-0.0183484135861962,0.90867201311568,-0.538719393196272,-0.246541110371227,-0.689312535692547,0.371773790099426,0.65739416553784,-0.428015764624321,-0.20368041549866,-0.852859484775611,-0.920470417090165,-0.312625738283666,0.796704671989562,0.041408009050695,-1.01497939982459,-1.03673144831758,-0.791856015513137,-0.770279050161627,-0.0441672490165205,-1.09447970669272,0.749040096585409,-0.422206072461653,-0.71753478724417,-0.0500398107636304,-0.224090372193689,0.60367262969376,-0.095788320426134,-0.249151690798875,0.167484783383931,-0.401030919134427,-0.0790020993930152,0.172345036484881,0.224180027630327,0.0952179862197604,0.223396850186351,-0.0345091606282409,0.0455414755088854,0.198752184174928,0.0339563443646613,-0.264999804546194,0.0463492850215001,0.419401741919031,-0.248499910566351,-0.106354577061732,0.142674933213532,-0.20556958426999,-0.278268213748206,0.00259925165899547,0.0621841939399685,0.134894353593997,-0.0244828481352133,-0.107202099980549,0.066423594266742,-0.107335921235764,-0.0605415585311586,-0.00602983719916173,-0.0706409355171608,0.025482807805905,0.0253994971329003,0.147029560222127,0.142354134763182,-0.0479406656590071,-0.0498570190926829
